customer_id,age,job,marital,education,default,balance,housing,loan,contact,date,duration,campaign,pdays,previous,poutcome,deposit
15634602,59,admin.,married,secondary,no,2343,yes,no,unknown,2008-05-05,1042,1,-1,0,unknown,yes
15647311,56,admin.,married,secondary,no,45,no,no,unknown,2008-05-05,1467,1,-1,0,unknown,yes
15619304,41,technician,married,secondary,no,1270,yes,no,unknown,2008-05-05,1389,1,-1,0,unknown,yes
15701354,55,services,married,secondary,no,2476,yes,no,unknown,2008-05-05,579,1,-1,0,unknown,yes
15737888,54,admin.,married,tertiary,no,184,no,no,unknown,2008-05-05,673,2,-1,0,unknown,yes
15574012,42,management,single,tertiary,no,0,yes,yes,unknown,2008-05-05,562,2,-1,0,unknown,yes
15592531,56,management,married,tertiary,no,830,yes,yes,unknown,2008-05-06,1201,1,-1,0,unknown,yes
15656148,60,retired,divorced,secondary,no,545,yes,no,unknown,2008-05-06,1030,1,-1,0,unknown,yes
15792365,37,technician,married,secondary,no,1,yes,no,unknown,2008-05-06,608,1,-1,0,unknown,yes
15592389,28,services,single,secondary,no,5090,yes,no,unknown,2008-05-06,1297,3,-1,0,unknown,yes
15767821,38,admin.,single,secondary,no,100,yes,no,unknown,2008-05-07,786,1,-1,0,unknown,yes
15737173,30,blue-collar,married,secondary,no,309,yes,no,unknown,2008-05-07,1574,2,-1,0,unknown,yes
15632264,29,management,married,tertiary,no,199,yes,yes,unknown,2008-05-07,1689,4,-1,0,unknown,yes
15691483,46,blue-collar,single,tertiary,no,460,yes,no,unknown,2008-05-07,1102,2,-1,0,unknown,yes
15600882,31,technician,single,tertiary,no,703,yes,no,unknown,2008-05-08,943,2,-1,0,unknown,yes
15643966,35,management,divorced,tertiary,no,3837,yes,no,unknown,2008-05-08,1084,1,-1,0,unknown,yes
15737452,32,blue-collar,single,primary,no,611,yes,no,unknown,2008-05-08,541,3,-1,0,unknown,yes
15788218,49,services,married,secondary,no,-8,yes,no,unknown,2008-05-08,1119,1,-1,0,unknown,yes
15661507,41,admin.,married,secondary,no,55,yes,no,unknown,2008-05-08,1120,2,-1,0,unknown,yes
